Lua Diagnostics | Errors: 0 | Warnings: 1051 | EmmyLua Types: /workspace/.emmylua
Info: 0 | Hints: 39 | Total: 1090 | Time: 2026-06-06 00:33:29 | Dir: /workspace/scripts
---
WARN  | BatEnemy.lua:64:8 | Impossible `if` statement: this condition is always falsy [unnecessary-if]
WARN  | BatEnemy.lua:463:26 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | BatEnemy.lua:464:23 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | BatEnemy.lua:465:26 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | BatEnemy.lua:466:21 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | BatEnemy.lua:488:25 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | BatEnemy.lua:489:30 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | BatEnemy.lua:490:27 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | BatEnemy.lua:493:30 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | BatEnemy.lua:494:27 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | BatEnemy.lua:495:27 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | BatEnemy.lua:496:27 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | BatEnemy.lua:497:27 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | BatEnemy.lua:498:27 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | BatEnemy.lua:499:30 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | BatEnemy.lua:500:30 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | BatEnemy.lua:501:25 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | BatEnemy.lua:504:30 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | BatEnemy.lua:505:27 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | BatEnemy.lua:506:27 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | BatEnemy.lua:507:27 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | BatEnemy.lua:508:30 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | BatEnemy.lua:509:30 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | BatEnemy.lua:510:25 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | BatEnemy.lua:513:30 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | BatEnemy.lua:514:27 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | BatEnemy.lua:515:27 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | BatEnemy.lua:516:27 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | BatEnemy.lua:517:27 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | BatEnemy.lua:518:27 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | BatEnemy.lua:519:30 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | BatEnemy.lua:520:32 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | BatEnemy.lua:521:32 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | BatEnemy.lua:522:27 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | BatEnemy.lua:524:28 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | BatEnemy.lua:541:43 | expected `NVGContextWrapper` but found `nil`. [param-type-mismatch]
WARN  | BatEnemy.lua:551:13 | expected `NVGContextWrapper` but found `nil`. [param-type-mismatch]
WARN  | BatEnemy.lua:554:24 | expected `NVGContextWrapper` but found `nil`. [param-type-mismatch]
WARN  | BatEnemy.lua:558:22 | expected `NVGContextWrapper` but found `nil`. [param-type-mismatch]
WARN  | BatEnemy.lua:559:18 | expected `NVGContextWrapper` but found `nil`. [param-type-mismatch]
WARN  | BatEnemy.lua:560:22 | expected `NVGContextWrapper` but found `nil`. [param-type-mismatch]
WARN  | BatEnemy.lua:568:35 | expected `NVGContextWrapper` but found `nil`. [param-type-mismatch]
WARN  | BatEnemy.lua:569:18 | expected `NVGContextWrapper` but found `nil`. [param-type-mismatch]
WARN  | BatEnemy.lua:570:13 | expected `NVGContextWrapper` but found `nil`. [param-type-mismatch]
WARN  | BatEnemy.lua:571:18 | expected `NVGContextWrapper` but found `nil`. [param-type-mismatch]
WARN  | BatEnemy.lua:572:13 | expected `NVGContextWrapper` but found `nil`. [param-type-mismatch]
WARN  | BatEnemy.lua:574:16 | expected `NVGContextWrapper` but found `nil`. [param-type-mismatch]
WARN  | BatEnemy.lua:597:26 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | BatEnemy.lua:598:28 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | BatEnemy.lua:599:26 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | BatEnemy.lua:600:21 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | BatEnemy.lua:606:30 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | BatEnemy.lua:607:32 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | BatEnemy.lua:608:30 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | BatEnemy.lua:609:25 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | BatEnemy.lua:615:30 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
